num_officers,pop
10,5425
154,48553
140,88891
1,1165
38,12657
2,3447
72,42080
2,1966
1,1100
2,1071
2,1003
18,8263
8,4498
5,2593
1,2128
29,12679
34,19987
40,17629
5418,80645
43,18830
133,75249
20,4205
46,602
19,5056
166,54702
42,23037
30,16153
75,40768
97,36128
93,29471
11,5658
35,14017
180,81270
27,5957
117,59023
140,73412
66,39529
64,27289
100,32371
43,24185
212,74047
77,19260
24,9211
39,8887
72,47581
32,11205
25,8767
83,37699
27,8388
34,13806
24,1883
159,63082
12,2423
28,10534
103,51105
45,18831
8,3742
14,7442
28,15424
23,13260
22,5047
93,56119
27,17297
14,10436
89,24863
10,4029
37,16224
32,14433
57,22904
102,54089
69,29104
21,5418
53,27336
45,21438
24,13460
128,55361
137,52311
127,58519
131,67984
34,17158
11,4768
16,9301
10,7066
52,28483
1,1919
36,13161
29,10869
56,23703
91,39028
24,8075
1,1368
1,1272
15,7620
4,1486
7,5211
3,2033
20,7364
6,4369
76,42428
2,1715
0,1152
2,1159
25,6909
4,2220
8,4336
486,90549
92,39599
85,46857
70,33878
25,10032
74,44672
251,149061
46,8096
48,21651
2,2426
43,24642
79,53160
17,9758
39,13268
37,21935
25,8486
31,10828
6,6901
1,721
21,8288
46,17475
6,2278
38,12662
17,11672
3,1389
12,6664
26,5627
8,3283
7,4196
40,14492
3,1116
11,640
42,14621
6,2236
0,473
4,3080
6,5500
6,2404
2,981
45,15028
14,5340
2,972
29,15083
23,7606
4,2448
3,870
65,15708
1,2078
2,1790
15,15963
12,4809
0,1276
86,22077
81,25242
4,1510
15,6699
7,2855
61,20465
52,14802
3,632
21,8208
38,11549
6,1571
1,721
11,3155
6,1707
4,1301
3,1443
122,62880
362,199784
8,5967
243,112112
10,6425
36,19927
36,23634
64,33118
21,8388
1,1341
5,11202
191,30672
44,15205
72,25872
28,19588
8,3089
1,759
118,28509
33,20541
227,127826
7,3585
54,18848
29,10457
97,30493
12,5250
17,5606
40,19564
18,8625
50,20060
74,31260
29,18266
189,86505
48,23617
13,7442
66,26847
15,14296
0,1230
9,4033
13,8651
10,4844
50,18047
26,9738
0,522
1,152
3,2301
66,16392
10,3962
20,11211
6,3602
26,11731
26,13584
2,1471
24,10264
0,597
0,1287
346,64538
54,31016
25,17728
68,39944
8,4610
20,9092
48,28811
7,1921
41,25324
15,6008
9,4006
130,21410
157,78107
90,55013
4,3143
8,3542
1,1017
3,1816
1,797
151,23094
1,1073
149,70710
12,5799
2,1124
49,18145
4,2137
17,5498
11,3097
5,1941
10,3333
167,73253
83,26360
18,9270
60,25047
68,28315
5,1344
27,9836
14,8033
7,1439
26,10108
5,1991
26,7053
17,5158
5,2205
0,1267
22,5856
3,2133
2,602
19,5986
6,2214
5,1913
30,10784
8,3448
31,10379
10,5972
15,6708
5,2110
1,941
43,18667
1,1200
2,1258
2,1044
11,4487
5,2786
9,3471
7,3585
15,6137
12,6071
2,2021
225,110955
0,961
21,9239
13,5705
36,8786
30,9050
9,4228
13,4377
0,307
13,8800
154,23797
9,3760
16,5012
105,37517
20,7538
4,1757
39,13864
14,4088
9,4922
8,3810
11,4240
3,1807
8,3869
4,1885
66,29686
10,164
23,13432
6,3836
204,34360
269,114393
6,4664
20,12809
9,3398
0,794
0,1324
2,658
5,2867
7,2764
0,649
28,13942
3,1715
0,576
38,16042
63,23721
60,23939
4,1605
5,2644
2,1188
24,16209
7,1526
61,32033
2,1901
2,1088
0,317
1,661
7,4110
97,22207
0,366
0,1941
64,30642
1,602
4,3205
20,5046
0,696
0,516
1,817
3,1223
4,2638
4,2964
3,1496
0,570
0,455
0,233
0,261
12,4464
15,6988
0,785
31,8944
4,1362
21,10240
14,4961
63,18769
1,868
10,3330
7,4026
38,14510
596,100164
123,75394
16,6199
32,20534
20,8096
36,19352
339,148155
45,25587
11,4135
70,44691
5,1924
75,39616
41,27103
11,8121
12,2257
33,17606
34,20573
0,2527
0,756
0,24623
27,12878
331,56918
15,2877
3,2081
338,145719
14,10492
13,7636
6,2963
23,22594
6,5276
1,998
14015,2707064
542,269366
0,15821
105,35310
12,5716
40,27630
31,9810
44,15268
41,17660
60,21630
88,47723
18,8949
58,16435
24,13464
13,6133
30,15629
17,6853
11,18528
46,22479
0,29291
7,2754
60,20941
144,95388
103,64567
59,43212
82,48185
44,22800
49,27005
64,35317
148,23538
99,57845
74,21552
17,5820
47,12537
20,20877
139,53759
57,25443
69,59797
9,6242
13,7973
64,16908
0,17025
100,53823
43,15120
441,48815
22,12896
53,30341
88,27717
244,75201
46,22220
78,27880
44,22412
